0,1,2,3,4,5,6,7,8,9
HUAMAN CORONADO RAUL,"CARHUAPOMA LOPEZ, MIRIAM JEALMIRA",16/05/2022,20/05/2022,LIMA-ICA Y AYACUCHO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","CAYLLAHUA QUISPE, MARY LUZ",31/05/2022,02/06/2022,LIMA-REGION AMAZONAS-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
HUAMAN CORONADO RAUL,"CHIRE VILLAFUERTE, MARCO ANTONIO",16/05/2022,20/05/2022,LIMA-ICA Y AYACUCHO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"CONTRERAS ACUÑA, KALET JHEFERSON",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
DIAZ MONAGO FREDDY RONALD,"DURAND LOPEZ, MOISES",16/05/2022,20/05/2022,LIMA-PASCO-LIMA,250,1596,1846,RECURSOS ORDINARIOS,MESA DIRECTIVA
CORDERO JON TAY LUIS GUSTAVO,"ELGUERA MENA, JUAN CARLOS",16/05/2022,20/05/2022,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"FERNANDEZ HUAMAN, DOMINGO",16/05/2022,20/05/2022,LIMA-HUANCAVELICA-LIMA,150,1584,1734,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"GARCIA HERRERA, MIGUEL ENRIQUE",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"HARO RODRIGUEZ, KEVIN JOSELMER",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
ELIAS AVALOS JOSE LUIS,"IBARRA TRUJILLO, MIGUEL ANGEL",16/05/2022,20/05/2022,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
OLIVOS MARTINEZ LESLIE VIVIAN,"MAGUIÑA BENAVENTE, LUIS ANTONIO",16/05/2022,20/05/2022,LIMA-LIMA PROVINCIAS-LIMA,125,820.8,945.8,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"MELENDEZ MUÑOZ, MARTHA DAYANA",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,0,760,760,RECURSOS ORDINARIOS,MESA DIRECTIVA
OLIVOS MARTINEZ LESLIE VIVIAN,"MELGAR CRUZ, ALEJANDRA MARIA",16/05/2022,20/05/2022,LIMA-LIMA PROVINCIAS-LIMA,125,718.5,843.5,RECURSOS ORDINARIOS,MESA DIRECTIVA
ELIAS AVALOS JOSE LUIS,"MENDIETA LEYVA, ALFREDO TEOBALDO",16/05/2022,20/05/2022,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"MIÑANO CANALES, HECTOR DANIEL",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,200,1600,1800,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"MORALES CAÑAHUA, ENRIQUE EDILBERTO",16/05/2022,20/05/2022,LIMA-ICA-LIMA,130,1297.81,1427.81,RECURSOS ORDINARIOS,MESA DIRECTIVA
PORTALATINO AVALOS KELLY ROXANA,"OTOYA JIMENEZ, VICTOR ALFONSO",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,205,596.9,801.9,RECURSOS ORDINARIOS,MESA DIRECTIVA
MARTICORENA MENDOZA JORGE ALFONSO,"PATIÑO ASTORAYME, EDNA ZARELA",16/05/2022,20/05/2022,LIMA-ICA-LIMA,0,1329.91,1329.91,RECURSOS ORDINARIOS,MESA DIRECTIVA
ESPINOZA VARGAS JHAEC DARWIN,"PEREZ REYES, RAFAEL YURI",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
DIAZ MONAGO FREDDY RONALD,"PEREZ ROMO, MARIA JANICE",16/05/2022,20/05/2022,LIMA-PASCO-LIMA,120,1600,1720,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","QUICHCA JERI, ELVIS RONALD",03/05/2022,05/05/2022,LIMA-CUSCO-LIMA,0,206,206,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","QUICHCA JERI, ELVIS RONALD",31/05/2022,02/06/2022,LIMA-REGION AMAZONAS-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"REYES ORTIZ, MARIO RICARDO",16/05/2022,20/05/2022,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
CAMONES SORIANO LADY MERCEDES,"RIERA RODRIGUEZ, WALTER AUGUSTO",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","RIVERA AYBAR, TANIA VALENTINA",03/05/2022,05/05/2022,LIMA-CUSCO-LIMA,0,161,161,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ROCA BUIZA, EDGAR OCTAVIO",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,200,1600,1800,RECURSOS ORDINARIOS,MESA DIRECTIVA
RUIZ RODRIGUEZ MAGALY ROSMERY,"ROMERO NIMA, JOHNNY FABIAN",16/05/2022,20/05/2022,LIMA-LA LIBERTAD-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
CORDERO JON TAY LUIS GUSTAVO,"ROSAS PARADA, FREDDY MOISES HERBERT",16/05/2022,20/05/2022,LIMA-LIMA PROVINCIAS-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
DOROTEO CARBAJO RAUL FELIPE,"SALGUERO SANCHEZ, CESAR MARTIN",16/05/2022,20/05/2022,LIMA-ICA-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
VARAS MELENDEZ ELIAS MARCIAL,"SANTILLAN DIOSES, RICHARD MARCO ANTONIO",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
GUTIERREZ TICONA PAUL SILVIO,"SARMIENTO PIMENTEL, JEAN DAVID",16/05/2022,20/05/2022,LIMA-APURIMAC-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE ENLACE CON EL CIUDADANO,"TRUJILLO MELGAREJO, JIMMY RAUL",19/05/2022,23/05/2022,LIMA-PIURA-LIMA,250,640,890,RECURSOS ORDINARIOS,MESA DIRECTIVA
GUTIERREZ TICONA PAUL SILVIO,"VARGAS TORRES, AMERICO",16/05/2022,20/05/2022,LIMA-APURIMAC-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
VARAS MELENDEZ ELIAS MARCIAL,"VILCHEZ LINARES, LUIS GREGORIO",16/05/2022,20/05/2022,LIMA-ANCASH-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
,,,,,,,,,
