0,1,2,3,4,5,6,7,8,9
ÁREA/OFICINA,USUARIOS,FECHA SALIDA,FECHA RETORNO,RUTA,COSTO PASAJES,VIÁTICOS (*),TOTAL,FUENTE DE FINANCIAMIENTO,AUTORIZACIÓN DE VIAJE (**)
DAVILA ATANACIO PASION NEOMIDAS,"ADVINCULA MEDRANO, KEVIN",16/05/2022,20/05/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
PARIONA SINCHE ALFREDO,"ALIAGA CERVANTES, JORGE LUIS",16/05/2022,20/05/2022,LIMA-HUANCAVELICA-LIMA,190,1594,1784,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ALVA MARTINEZ, RICARDO FLAVIO",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
DAVILA ATANACIO PASION NEOMIDAS,"ARANCIBIA CONDOR, DIANA LOURDES",16/05/2022,20/05/2022,LIMA-PASCO-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
OFICINA DE COMUNICACIONES,"ARIAS LAZO, JOSE ERNESTO",14/05/2022,18/05/2022,LIMA-JAUJA-HUANCAVELICA-AYACUCHO-LIMA,200,1309.04,1509.04,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","AUCAPIÑA SONCCO, RUBEN HUGO",03/05/2022,05/05/2022,LIMA-CUSCO-LIMA,0,266,266,RECURSOS ORDINARIOS,MESA DIRECTIVA
"COMISION DE PUEBLOS ANDINOS, AMAZONICOS Y AFROPERUANOS, AMBIENTE Y ECOLOGIA","AUCAPIÑA SONCCO, RUBEN HUGO",31/05/2022,02/06/2022,LIMA-REGION AMAZONAS-LIMA,250,960,1210,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"AUQUI CACERES, MARIO ANDRES",16/05/2022,20/05/2022,LIMA-LIMA - PROVINCIAS-LIMA,90,1599.1,1689.1,RECURSOS ORDINARIOS,MESA DIRECTIVA
RIVAS CHACARA JANET MILAGROS,"CAPCHA FELIX, KATHERINE JANETH",16/05/2022,20/05/2022,LIMA-LIMA - PROVINCIAS-LIMA,90,1596.6,1686.6,RECURSOS ORDINARIOS,MESA DIRECTIVA
RUIZ RODRIGUEZ MAGALY ROSMERY,"CARBAJAL REYES, CECILIA ROSA",16/05/2022,20/05/2022,LIMA-LA LIBERTAD-LIMA,250,1600,1850,RECURSOS ORDINARIOS,MESA DIRECTIVA
